Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
1,2023-04-01,La Liga,Matchweek 27,Away,Barcelona,Elche,Y,0.36,0.22,Right Foot,13,66,2-0,Édgar Badía,Gavi,Gavi,Pass (Live),,,
2,2023-04-01,La Liga,Matchweek 27,Away,Barcelona,Elche,Y,0.15,0.18,Right Foot,10,20,0-0,Édgar Badía,Ronald Araújo,Ronald Araújo,Pass (Live),Jordi Alba,Pass (Dead),
3,2023-02-23,Europa Lg,Knockout round play-offs,Away,Barcelona,Manchester Utd,Y,0.79,1.00,Right Foot,13,18,0-0,David de Gea,,Alejandro Balde,Fouled,Franck Kessié,Pass (Live),
4,2023-02-19,La Liga,Matchweek 22,Home,Barcelona,Cádiz,Y,0.06,0.18,Right Foot,18,45+1,1-0,Jeremías Ledesma,Sergi Roberto,Sergi Roberto,Pass (Live),Frenkie de Jong,Pass (Live),
5,2023-02-01,La Liga,Matchweek 17,Away,Barcelona,Betis,Y,0.21,0.40,Right Foot,9,80,1-0,Rui Silva,Ronald Araújo,Ronald Araújo,Shot,,,
6,2023-01-19,Copa del Rey,Round of 16,Away,Barcelona,AD Ceuta,Y,,,,,90,4-0,Leandro Montagud,Eric García,,,,,
7,2023-01-19,Copa del Rey,Round of 16,Away,Barcelona,AD Ceuta,Y,,,,,50,1-0,Leandro Montagud,Franck Kessié,,,,,
8,2023-01-15,Supercopa de España,Final,Away,Barcelona,Real Madrid,Y,,,,,45,,,Gavi,,,,,
9,2023-01-12,Supercopa de España,Semi-finals,Away,Barcelona,Betis,Y,,,,,40,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
10,2022-12-04,World Cup,Round of 16,Neutral,Poland,France,Y*,0.79,0.99,Right Foot,13,90+9,0-3,Hugo Lloris,,,Fouled,Robert Lewandowski,Pass (Live),
11,2022-11-26,World Cup,Group stage,Neutral,Poland,Saudi Arabia,Y*,0.53,0.18,Left Foot,16,82,1-0,Mohammed Al-Owais,,Robert Lewandowski,Take-On,,,
,,,,,,,,,,,,,,,,,,,,
12,2022-10-29,La Liga,Matchweek 12,Away,Barcelona,Valencia,Y,0.49,0.90,Right Foot,6,90+3,0-0,Giorgi Mamardashvili,Raphinha,Raphinha,Pass (Live),Pedri,Pass (Live),Volley
13,2022-10-23,La Liga,Matchweek 11,Home,Barcelona,Athletic Club,Y,0.10,0.10,Left Foot,16,22,2-0,Unai Simón,Ousmane Dembélé,Ousmane Dembélé,Pass (Live),Ousmane Dembélé,Take-On,
14,2022-10-20,La Liga,Matchweek 10,Home,Barcelona,Villarreal,Y,0.09,0.48,Right Foot,20,35,1-0,Gerónimo Rulli,Gavi,Gavi,Pass (Live),Gavi,Take-On,
15,2022-10-20,La Liga,Matchweek 10,Home,Barcelona,Villarreal,Y,0.07,0.30,Right Foot,11,31,0-0,Gerónimo Rulli,Jordi Alba,Jordi Alba,Pass (Live),Pedri,Pass (Live),
16,2022-10-12,Champions Lg,Group stage,Home,Barcelona,Inter,Y,0.07,0.49,Head,10,90+2,2-3,André Onana,,Eric García,Pass (Live),Frenkie de Jong,Pass (Live),
17,2022-10-12,Champions Lg,Group stage,Home,Barcelona,Inter,Y,0.05,0.04,Left Foot,17,82,1-2,André Onana,,Alejandro Balde,Pass (Live),Ansu Fati,Pass (Live),Deflected
18,2022-10-01,La Liga,Matchweek 7,Away,Barcelona,Mallorca,Y,0.06,0.52,Right Foot,16,20,0-0,Predrag Rajković,Ansu Fati,Ansu Fati,Pass (Live),Ansu Fati,Take-On,
19,2022-09-17,La Liga,Matchweek 6,Home,Barcelona,Elche,Y,0.40,0.85,Right Foot,10,48,2-0,Édgar Badía,,Jules Koundé,Pass (Live),Ousmane Dembélé,Pass (Live),
20,2022-09-17,La Liga,Matchweek 6,Home,Barcelona,Elche,Y,0.75,0.93,Right Foot,4,34,0-0,Édgar Badía,Alejandro Balde,Alejandro Balde,Pass (Live),Pedri,Pass (Live),
21,2022-09-10,La Liga,Matchweek 5,Away,Barcelona,Cádiz,N,0.92,0.97,Right Foot,2,65,1-0,Jeremías Ledesma,,,,,,
22,2022-09-07,Champions Lg,Group stage,Home,Barcelona,Viktoria Plzeň,Y,0.06,0.42,Right Foot,24,67,3-1,Jindřich Staněk,Ferrán Torres,Ferrán Torres,Pass (Live),Jordi Alba,Pass (Live),
23,2022-09-07,Champions Lg,Group stage,Home,Barcelona,Viktoria Plzeň,Y,0.65,0.83,Head,3,45+3,2-1,Jindřich Staněk,Ousmane Dembélé,Ousmane Dembélé,Pass (Live),Ousmane Dembélé,Tackle,
24,2022-09-07,Champions Lg,Group stage,Home,Barcelona,Viktoria Plzeň,Y,0.08,0.41,Right Foot,19,34,1-0,Jindřich Staněk,Sergi Roberto,Sergi Roberto,Pass (Live),Andreas Christensen,Pass (Live),
