R/O,Year,Host_City,Country,Contestant,Song,Points,Place
1,2019,Tel-Aviv,Malta,Michela,Chameleon,107,14th
2,2019,Tel-Aviv,Albania,Jonida Maliqi,Ktheju tokës,90,17th
3,2019,Tel-Aviv,Czech Republic,Lake Malawi,Friend of a Friend,157,11th
4,2019,Tel-Aviv,Germany,S!sters,Sister,24,25th
5,2019,Tel-Aviv,Russia,Sergey Lazarev,Scream,370,3rd
6,2019,Tel-Aviv,Denmark,Leonora,Love Is Forever,120,12th
7,2019,Tel-Aviv,San Marino,Serhat,Say Na Na Na,77,19th
8,2019,Tel-Aviv,North Macedonia,Tamara Todevska,Proud,305,7th
9,2019,Tel-Aviv,Sweden,John Lundvik,Too Late For Love,334,5th
10,2019,Tel-Aviv,Slovenia,Zala Kralj & Gašper Šantl,Sebi,105,15th
11,2019,Tel-Aviv,Cyprus,Tamta,Replay,109,13th
12,2019,Tel-Aviv,The Netherlands,Duncan Laurence,Arcade,498,1st
13,2019,Tel-Aviv,Greece,Katerine Duska,Better Love,74,21st
14,2019,Tel-Aviv,Israel,Kobi Marimi,Home,35,23rd
15,2019,Tel-Aviv,Norway,KEiiNO,Spirit in the Sky,331,6th
16,2019,Tel-Aviv,United Kingdom,Michael Rice,Bigger Than Us,11,26th
17,2019,Tel-Aviv,Iceland,Hatari,Hatrið mun sigra,232,10th
18,2019,Tel-Aviv,Estonia,Victor Crone,Storm,76,20th
19,2019,Tel-Aviv,Belarus,ZENA,Like It,31,24th
20,2019,Tel-Aviv,Azerbaijan,Chingiz,Truth,302,8th
21,2019,Tel-Aviv,France,Bilal Hassani,Roi,105,16th
22,2019,Tel-Aviv,Italy,Mahmood,Soldi,472,2nd
23,2019,Tel-Aviv,Serbia,Nevena Božović,Kruna,89,18th
24,2019,Tel-Aviv,Switzerland,Luca Hänni,She Got Me,364,4th
25,2019,Tel-Aviv,Australia,Kate Miller-Heidke,Zero Gravity,284,9th
26,2019,Tel-Aviv,Spain,Miki,La Venda,54,22nd
1,2018,Lisbon,Ukraine,MELOVIN,Under The Ladder,130,17th
2,2018,Lisbon,Spain,Amaia y Alfred,Tu Canción,61,23rd
"3,2018,Lisbon,Slovenia,Lea Sirk,""Hvala, ne!"",64,22nd"
4,2018,Lisbon,Lithuania,Ieva Zasimauskaitė,When We're Old,181,12th
5,2018,Lisbon,Austria,Cesár Sampson,Nobody But You,342,3rd
6,2018,Lisbon,Estonia,Elina Nechayeva,La Forza,245,8th
7,2018,Lisbon,Norway,Alexander Rybak,That's How You Write A Song,144,15th
8,2018,Lisbon,Portugal,Cláudia Pascoal,O Jardim,39,26th
9,2018,Lisbon,United Kingdom,SuRie,Storm,48,24th
10,2018,Lisbon,Serbia,Sanja Ilić & Balkanika,Nova Deca,113,19th
11,2018,Lisbon,Germany,Michael Schulte,You Let Me Walk Alone,340,4th
12,2018,Lisbon,Albania,Eugent Bushpepa,Mall,184,11th
13,2018,Lisbon,France,Madame Monsieur,Mercy,173,13th
14,2018,Lisbon,Czech Republic,Mikolas Josef,Lie To Me,281,6th
15,2018,Lisbon,Denmark,Rasmussen,Higher Ground,226,9th
16,2018,Lisbon,Australia,Jessica Mauboy,We Got Love,99,20th
17,2018,Lisbon,Finland,Saara Aalto,Monsters,46,25th
18,2018,Lisbon,Bulgaria,EQUINOX,Bones,166,14th
19,2018,Lisbon,Moldova,DoReDoS,My Lucky Day,209,10th
20,2018,Lisbon,Sweden,Benjamin Ingrosso,Dance You Off,274,7th
21,2018,Lisbon,Hungary,AWS,Viszlát Nyár,93,21st
22,2018,Lisbon,Israel,Netta,TOY,529,1st
23,2018,Lisbon,The Netherlands,Waylon,Outlaw In 'Em,121,18th
24,2018,Lisbon,Ireland,Ryan O'Shaughnessy,Together,136,16th
25,2018,Lisbon,Cyprus,Eleni Foureira,Fuego,436,2nd
26,2018,Lisbon,Italy,Ermal Meta e Fabrizio Moro,Non Mi Avete Fatto Niente,308,5th
1,2017,Kyiv,Israel,IMRI,I Feel Alive,39,23rd
2,2017,Kyiv,Poland,Kasia Moś,Flashlight,64,22nd
3,2017,Kyiv,Belarus,Naviband,Story of My Life,83,17th
4,2017,Kyiv,Austria,Nathan Trent,Running On Air,93,16th
5,2017,Kyiv,Armenia,Artsvik,Fly With Me,79,18th
6,2017,Kyiv,The Netherlands,OG3NE,Lights and Shadows,150,11th
7,2017,Kyiv,Moldova,Sunstroke Project,Hey Mamma,374,3rd
8,2017,Kyiv,Hungary,Joci Pápai,Origo,200,8th
9,2017,Kyiv,Italy,Francesco Gabbani,Occidentali's Karma,334,6th
10,2017,Kyiv,Denmark,Anja,Where I Am,77,20th
11,2017,Kyiv,Portugal,Salvador Sobral,Amar Pelos Dois,758,1st
12,2017,Kyiv,Azerbaijan,Dihaj,Skeletons,120,14th
13,2017,Kyiv,Croatia,Jacques Houdek,My Friend,128,13th
14,2017,Kyiv,Australia,Isaiah,Don't Come Easy,173,9th
15,2017,Kyiv,Greece,Demy,This is Love,77,19th
16,2017,Kyiv,Spain,Manel Navarro,Do It For Your Lover,5,26th
17,2017,Kyiv,Norway,JOWST,Grab The Moment,158,10th
18,2017,Kyiv,United Kingdom,Lucie Jones,Never Give Up On You,111,15th
19,2017,Kyiv,Cyprus,Hovig,Gravity,68,21st
20,2017,Kyiv,Romania,Ilinca ft. Alex Florea,Yodel It!,282,7th
21,2017,Kyiv,Germany,Levina,Perfect Life,6,25th
22,2017,Kyiv,Ukraine,O.Torvald,Time,36,24th
