person_id,id,name,character,role
14701,tm77588,Humphrey Bogart,Rick Blaine,ACTOR
14702,tm77588,Ingrid Bergman,Ilsa Lund,ACTOR
14703,tm77588,Paul Henreid,Victor Laszlo,ACTOR
14704,tm77588,Claude Rains,Captain Louis Renault,ACTOR
14705,tm77588,Conrad Veidt,Major Heinrich Strasser,ACTOR
14706,tm77588,Sydney Greenstreet,Signor Ferrari,ACTOR
1367,tm77588,Peter Lorre,Ugarte,ACTOR
14716,tm77588,S.Z. Sakall,Carl,ACTOR
14707,tm77588,Madeleine Lebeau,Yvonne,ACTOR
14708,tm77588,Dooley Wilson,Sam,ACTOR
14709,tm77588,Joy Page,Annina Brandel,ACTOR
14710,tm77588,John Qualen,Berger,ACTOR
14711,tm77588,Leonid Kinskey,Sascha,ACTOR
14712,tm77588,Curt Bois,Pickpocket,ACTOR
14718,tm77588,Enrique Acosta,Guest at Rick's (uncredited),ACTOR
14719,tm77588,Ed Agresti,Bar Patron (uncredited),ACTOR
14720,tm77588,Louis V. Arco,Refugee at Rick's (uncredited),ACTOR
14721,tm77588,Frank Arnold,Overseer (uncredited),ACTOR
14723,tm77588,Leon Belasco,Dealer at Rick's (uncredited),ACTOR
14724,tm77588,Nino Bellini,Gendarme (uncredited),ACTOR
14725,tm77588,Oliver Blake,Waiter at the Blue Parrot (uncredited),ACTOR
14726,tm77588,Monte Blue,American (uncredited),ACTOR
14727,tm77588,Eugene Borden,Policeman (uncredited),ACTOR
14728,tm77588,Dick Botiller,Native Officer (uncredited),ACTOR
14729,tm77588,Maurice Brierre,Baccarat Dealer at Rick's (uncredited),ACTOR
5898,tm77588,Sebastian Cabot,Bearded Man in Street Watching Plane in Flight (uncredited),ACTOR
14730,tm77588,Anita Camargo,Woman Companion (uncredited),ACTOR
14731,tm77588,George M. Carleton,American (uncredited),ACTOR
14733,tm77588,Spencer Chan,Guest at Rick's (uncredited),ACTOR
14734,tm77588,Melie Chang,Oriental at Rick's (uncredited),ACTOR
14796,tm77588,Tex Cooper,Commuter at Train Station (uncredited),ACTOR
13367,tm77588,Gino Corrado,Waiter at Rick's (uncredited),ACTOR
555402,tm77588,Franco Corsaro,French Police Officer (uncredited),ACTOR
14736,tm77588,Adrienne D'Ambricourt,Concierge (uncredited),ACTOR
14713,tm77588,Marcel Dalio,Emil - Croupier at Rick's (uncredited),ACTOR
14714,tm77588,Helmut Dantine,Jan Brandel (uncredited),ACTOR
14737,tm77588,Jean De Briac,Orderly (uncredited),ACTOR
14738,tm77588,George Dee,Lt. Casselle (uncredited),ACTOR
14739,tm77588,Jean Del Val,Police Officer (uncredited),ACTOR
14740,tm77588,Carl Deloro,Arab Guest with Fez (uncredited),ACTOR
14741,tm77588,Joseph DeVillard,Moroccan (uncredited),ACTOR
14742,tm77588,Arthur Dulac,News Vendor (uncredited),ACTOR
14743,tm77588,William Edmunds,Second Contact Man at Rick's (uncredited),ACTOR
14744,tm77588,Herbert Evans,Englishman Questioning Casino's Honesty (uncredited),ACTOR
14745,tm77588,Fred Farrell,Singing Frenchman (uncredited),ACTOR
14746,tm77588,Adolph Faylauer,Gambler at Rick's (uncredited),ACTOR
14747,tm77588,O.K. Ford,Conspirator (uncredited),ACTOR
14748,tm77588,Martín Garralaga,Headwaiter at Rick's (uncredited),ACTOR
14750,tm77588,Gregory Gaye,German Banker Refused by Rick (uncredited),ACTOR
14751,tm77588,Gregory Golubeff,Cashier at Rick's (uncredited),ACTOR
14752,tm77588,Ilka Grüning,Mrs. Leuchtag - Carl's Immigrating Friend (uncredited),ACTOR
14753,tm77588,Creighton Hale,Customer (uncredited),ACTOR
14754,tm77588,Winifred Harris,Englishwoman (uncredited),ACTOR
14755,tm77588,Jamiel Hasson,Muezzini (uncredited),ACTOR
14756,tm77588,Arthur Stuart Hull,Elderly Admirer (uncredited),ACTOR
27274,tm77588,Olaf Hytten,Pickpocketed Prosperous Man (uncredited),ACTOR
14757,tm77588,Charles La Torre,Italian Officer Tonnelli (uncredited),ACTOR
14758,tm77588,George J. Lewis,Haggling Arab Monkey Seller (uncredited),ACTOR
81681,tm77588,Manuel Lopez,Policeman (uncredited),ACTOR
81682,tm77588,Jacques Lory,Moor Buying Diamonds (uncredited),ACTOR
36180,tm77588,Lou Marcelle,Narrator (voice) (uncredited),ACTOR
81684,tm77588,Tony Martelli,Bartender (uncredited),ACTOR
13397,tm77588,George Meeker,Rick's Friend (uncredited),ACTOR
74249,tm77588,Lal Chand Mehra,Policeman (uncredited),ACTOR
81685,tm77588,Hercules Mendez,Arab Guest with Fez (uncredited),ACTOR
65340,tm77588,Louis Mercier,Conspirator (uncredited),ACTOR
14759,tm77588,Torben Meyer,Dutch Banker at Cafe Table (uncredited),ACTOR
13400,tm77588,Alberto Morin,French Officer Insulting Yvonne (uncredited),ACTOR
14760,tm77588,Leo Mostovoy,Fydor (uncredited),ACTOR
14761,tm77588,Corinna Mura,Singer with Guitar (uncredited),ACTOR
14762,tm77588,Barry Norton,Gambler at Rick's (uncredited),ACTOR
14764,tm77588,Lotte Palfi Andor,Woman Selling Her Diamonds (uncredited),ACTOR
14763,tm77588,Paul Panzer,Paul - Waiter at Rick's (uncredited),ACTOR
14766,tm77588,Manuel París,Guest at Rick's (uncredited),ACTOR
14767,tm77588,Alexander Pollard,Croupier (uncredited),ACTOR
14768,tm77588,Frank Puglia,Arab Vendor (uncredited),ACTOR
14769,tm77588,Georges Renavent,Conspirator (uncredited),ACTOR
