id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts300399,Five Came Back: The Reference Films,SHOW,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",1945,TV-MA,51,['documentation'],['US'],1.0,,,,0.601,
tm82169,Rocky,MOVIE,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.",1976,PG,119,"['drama', 'sport']",['US'],,tt0075148,8.1,588100.0,106.361,7.782
tm17823,Grease,MOVIE,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",1978,PG,110,"['romance', 'comedy']",['US'],,tt0077631,7.2,283316.0,33.16,7.406
tm191099,The Sting,MOVIE,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,1973,PG,129,"['crime', 'drama', 'comedy', 'music']",['US'],,tt0070735,8.3,266738.0,24.616,8.02
tm69975,Rocky II,MOVIE,"After Rocky goes the distance with champ Apollo Creed, both try to put the fight behind them and move on. Rocky settles down with Adrian but can't put his life together outside the ring, while Creed seeks a rematch to restore his reputation. Soon enough, the ""Master of Disaster"" and the ""Italian Stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.",1979,PG,119,"['drama', 'sport']",['US'],,tt0079817,7.3,216307.0,75.699,7.246
tm127384,Monty Python and the Holy Grail,MOVIE,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,PG,91,"['fantasy', 'comedy']",['GB'],,tt0071853,8.2,547292.0,20.964,7.804
tm17249,Animal House,MOVIE,"At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",1978,R,109,['comedy'],['US'],,tt0077975,7.4,123611.0,17.372,7.02
ts22164,Monty Python's Flying Circus,SHOW,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,75654.0,24.773,8.258
tm70993,Life of Brian,MOVIE,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,R,94,['comedy'],['GB'],,tt0079470,8.0,405022.0,19.787,7.762
tm16479,White Christmas,MOVIE,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,,120,"['comedy', 'music', 'romance']",['US'],,tt0047673,7.5,46586.0,11.598,7.2
tm91699,Heroes,MOVIE,A Vietnam veteran suffering from post traumatic stress disorder breaks out of a VA hospital and goes on a road trip with a sympathetic traveler to find out what became of the other men in his unit.,1977,PG,112,"['drama', 'comedy', 'romance']",['US'],,tt0076138,6.0,1883.0,7.869,6.5
tm12775,Play Misty for Me,MOVIE,"A brief fling between a male disc jockey and an obsessed female fan takes a frightening, and perhaps even deadly turn when another woman enters the picture.",1971,R,102,"['drama', 'thriller']",['US'],,tt0067588,6.9,29706.0,10.964,6.612
tm135083,Cairo Station,MOVIE,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,,77,"['drama', 'comedy', 'crime']",['EG'],,tt0051390,7.5,4878.0,7.372,7.4
tm69997,Richard Pryor: Live in Concert,MOVIE,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,R,78,"['comedy', 'documentation']",['US'],,tt0284692,8.1,5141.0,7.266,7.432
tm16812,Bandie,MOVIE,"Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.",1978,,141,"['drama', 'romance', 'action']",['IN'],,tt1219315,4.8,37.0,1.862,6.0
tm75975,Prince,MOVIE,"To better himself, a spoiled prince temporarily assumes a commoner's identity. But he soon learns his palace has been gifted to his father's new wife.",1969,,152,['romance'],['IN'],,tt0064842,6.8,199.0,2.45,7.0
tm156453,FTA,MOVIE,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,R,97,"['comedy', 'documentation', 'music']",['US'],,tt0068562,6.4,433.0,2.062,6.1
ts45948,Monty Python's Fliegender Zirkus,SHOW,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,TV-MA,43,['comedy'],['GB'],1.0,tt0202477,8.1,2199.0,1.475,7.0
tm89386,Hitler: A Career,MOVIE,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,PG,150,"['documentation', 'history', 'european']",['DE'],,tt0191182,7.5,2718.0,7.155,7.4
tm71909,Amrapali,MOVIE,"After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.",1966,,120,['fantasy'],['IN'],,tt0060104,6.7,251.0,2.805,6.3
tm100027,Alibaba Aur 40 Chor,MOVIE,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1980,,138,"['drama', 'action', 'romance', 'fantasy', 'family']","['IN', 'SU']",,tt0079749,6.2,599.0,3.711,6.8
tm107372,Manoranjan,MOVIE,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,,162,"['romance', 'comedy', 'drama']",['IN'],,tt0071811,6.5,259.0,1.48,5.3
tm10204,Professor,MOVIE,"Sita devi is a very strict aunt for a number of young ladies, and does not allow them to fraternize with males. Along comes Pritam disguised as an elderly Professor Khanna to break every possible rule of the aunt",1962,,163,"['drama', 'comedy', 'romance']",['IN'],,tt0056379,6.9,312.0,1.911,5.8
tm336403,Khoon Khoon,MOVIE,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.",1973,,131,"['crime', 'drama', 'thriller']",['IN'],,tt0230412,5.3,50.0,2.46,3.8
tm27298,Saladin the Victorious,MOVIE,The first Sultan of Egypt and Syria leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.,1963,,186,"['drama', 'history', 'romance', 'war', 'action']",['EG'],,tt0057357,7.6,2670.0,6.781,7.1
tm123318,The Other Side of the Mountain,MOVIE,"One year before the Olympics, Jill Kinmont, an 18-year-old skiing champion, suffers a fall during competition and is left paralyzed. With her life now completely altered, she undergoes an exhausting fight to regain some of what she has lost.",1975,PG,103,"['drama', 'romance']",['US'],,tt0073496,6.4,1181.0,5.147,6.2
tm204541,Dark Waters,MOVIE,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,,120,"['drama', 'romance', 'thriller']",['EG'],,tt0049761,6.7,703.0,2.999,5.556
tm19608,The Blazing Sun,MOVIE,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,,100,"['drama', 'crime', 'romance']",['EG'],,tt0047500,7.4,1219.0,2.854,6.865
tm90896,The Return of the Prodigal Son,MOVIE,"In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",1976,,124,"['drama', 'crime']","['EG', 'DZ']",,tt0074168,7.1,863.0,2.587,5.577
tm14350,Alexandria… Why?,MOVIE,"Amid the poverty, death, and suffering caused by World War II, 18-year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one-day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1980,,133,['drama'],"['EG', 'DZ']",,tt0077751,7.3,1859.0,2.465,6.3
tm123613,Salaakhen,MOVIE,"Separated by tragedy, two virtually inseparable childhood friends meet again, only to fall in love this time.",1975,,133,"['thriller', 'action']",['IN'],,tt0395743,5.8,78.0,2.358,6.7
tm81728,The Land,MOVIE,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.",1970,,129,['drama'],['EG'],,tt0064038,8.0,2189.0,2.185,8.4
