Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alek,2023-04-25 20:38:58,00:46:18,,Breaking Bad: Sezon 2: Użądlony przez martwą pszczołę (Odcinek 3),,Android DefaultWidevineL3Tablet Android Tablet,00:46:18,00:46:18,PL (Poland)
Alek,2023-04-21 20:31:57,01:19:37,,Zabójcze wesele,,Android DefaultWidevineL3Tablet Android Tablet,01:30:46,01:30:46,PL (Poland)
Alek,2023-04-18 19:32:34,00:46:57,,Breaking Bad: Sezon 2: Jest gorąco (Odcinek 2),,Android DefaultWidevineL3Tablet Android Tablet,00:47:15,00:47:15,PL (Poland)
Alek,2023-04-18 18:46:44,00:45:18,,Breaking Bad: Sezon 2: 737 (Odcinek 1),,Android DefaultWidevineL3Tablet Android Tablet,00:46:32,00:46:32,PL (Poland)
Alek,2023-04-18 18:46:16,00:00:15,,Breaking Bad: Sezon 1: Żadnej mokrej roboty (Odcinek 7),,Android DefaultWidevineL3Tablet Android Tablet,00:46:05,00:46:05,PL (Poland)
Alek,2023-03-30 20:32:24,00:47:37,,Breaking Bad: Sezon 1: Żadnej mokrej roboty (Odcinek 7),,Android DefaultWidevineL3Tablet Android Tablet,00:46:59,Not latest view,PL (Poland)
Alek,2023-03-26 00:46:40,00:46:52,,Breaking Bad: Sezon 1: Z pustą ręką (Odcinek 6),,Android DefaultWidevineL3Tablet Android Tablet,00:47:09,00:47:09,PL (Poland)
Alek,2023-03-25 23:43:49,00:47:29,,Breaking Bad: Sezon 1: Gray Matter (Odcinek 5),,Android DefaultWidevineL3Tablet Android Tablet,00:47:25,00:47:25,PL (Poland)
Alek,2023-03-25 22:55:53,00:47:51,,Breaking Bad: Sezon 1: Rak (Odcinek 4),,Android DefaultWidevineL3Tablet Android Tablet,00:47:31,00:47:31,PL (Poland)
Alek,2023-03-24 23:12:03,00:47:16,,Breaking Bad: Sezon 1: I nie ma ptaszka (Odcinek 3),,Android DefaultWidevineL3Tablet Android Tablet,00:47:30,00:47:30,PL (Poland)
Alek,2023-03-24 22:24:24,00:47:38,,Breaking Bad: Sezon 1: Ptaszek w klatce (Odcinek 2),,Android DefaultWidevineL3Tablet Android Tablet,00:47:38,00:47:38,PL (Poland)
Alek,2023-03-24 21:18:38,00:57:21,,Breaking Bad: Sezon 1: Pilot (Odcinek 1),,Android DefaultWidevineL3Tablet Android Tablet,00:57:19,00:57:19,PL (Poland)
Alek,2023-03-24 21:18:20,00:00:07,,Breaking Bad: Season 1 - Clip 2,PROMOTIONAL,Android DefaultWidevineL3Tablet Android Tablet,00:00:03,00:00:03,PL (Poland)
Alek,2023-03-11 23:49:29,00:00:13,,Ty: Sezon 4: Część 2 (zwiastun),TRAILER,Sony PS4,00:00:13,00:00:13,PL (Poland)
Alek,2023-03-11 23:47:41,00:01:47,Autoplayed: user action: None; ,"Miniserial (zwiastun): MH370: Samolot, który zniknął",TRAILER,Sony PS4,00:01:47,00:01:47,PL (Poland)
Alek,2023-03-11 23:11:16,00:36:22,,Fauda: Sezon 4: Odcinek 12 (Odcinek 12),,Sony PS4,00:36:27,00:36:27,PL (Poland)
Alek,2023-03-11 22:34:12,00:36:45,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 4: Odcinek 11 (Odcinek 11),,Sony PS4,00:36:45,00:36:45,PL (Poland)
Alek,2023-03-11 10:30:54,00:35:36,,Fauda: Sezon 4: Odcinek 10 (Odcinek 10),,Sony PS4,00:35:41,00:35:41,PL (Poland)
Alek,2023-03-11 09:55:21,00:35:30,,Fauda: Sezon 4: Odcinek 9 (Odcinek 9),,Sony PS4,00:35:35,00:35:35,PL (Poland)
Alek,2023-03-11 09:21:19,00:33:55,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 4: Odcinek 8 (Odcinek 8),,Sony PS4,00:38:17,00:38:17,PL (Poland)
Alek,2023-03-11 09:06:05,00:04:24,Autoplayed: user action: None; ,Fauda: Sezon 4: Odcinek 8 (Odcinek 8),,Sony PS4,00:04:29,Not latest view,PL (Poland)
Alek,2023-03-11 08:30:28,00:35:33,,Fauda: Sezon 4: Odcinek 7 (Odcinek 7),,Sony PS4,00:35:38,00:35:38,PL (Poland)
Alek,2023-03-11 07:50:44,00:39:22,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 4: Odcinek 6 (Odcinek 6),,Sony PS4,00:39:40,00:39:40,PL (Poland)
Alek,2023-03-11 07:50:27,00:00:04,Autoplayed: user action: None; ,Batch 2 (Klip): Batch 2,HOOK,Sony PS4,00:00:04,00:00:04,PL (Poland)
Alek,2023-03-11 00:54:04,00:00:52,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 4: Odcinek 6 (Odcinek 6),,Sony PS4,00:00:03,Not latest view,PL (Poland)
Alek,2023-03-11 00:13:10,00:40:50,,Fauda: Sezon 4: Odcinek 5 (Odcinek 5),,Sony PS4,00:40:55,00:40:55,PL (Poland)
Alek,2023-03-10 23:34:47,00:37:59,,Fauda: Sezon 4: Odcinek 4 (Odcinek 4),,Sony PS4,00:38:05,00:38:05,PL (Poland)
Alek,2023-03-10 22:50:00,00:44:42,,Fauda: Sezon 4: Odcinek 3 (Odcinek 3),,Sony PS4,00:44:47,00:44:47,PL (Poland)
Alek,2023-03-10 22:03:03,00:46:53,,Fauda: Sezon 4: Odcinek 2 (Odcinek 2),,Sony PS4,00:46:58,00:46:58,PL (Poland)
Alek,2023-03-10 21:12:28,00:50:28,,Fauda: Sezon 4: Odcinek 1 (Odcinek 1),,Sony PS4,00:50:28,00:50:28,PL (Poland)
Alek,2023-03-10 21:11:47,00:00:01,Autoplayed: user action: None; ,Fauda: Sezon 4: Odcinek 3 (Odcinek 3),,Sony PS4,00:24:20,Not latest view,PL (Poland)
Alek,2023-03-08 23:14:15,00:24:14,Autoplayed: user action: None; ,Fauda: Sezon 4: Odcinek 3 (Odcinek 3),,Sony PS4,00:24:19,Not latest view,PL (Poland)
Alek,2023-03-08 22:27:19,00:46:52,,Fauda: Sezon 4: Odcinek 2 (Odcinek 2),,Sony PS4,00:46:57,Not latest view,PL (Poland)
Alek,2023-03-08 21:43:09,00:43:58,,Fauda: Sezon 4: Odcinek 1 (Odcinek 1),,Sony PS4,00:50:28,Not latest view,PL (Poland)
Alek,2023-03-08 21:41:48,00:00:08,Autoplayed: user action: None; ,Miniserial (Klip): Anatomia skandalu,HOOK,Sony PS4,00:00:08,00:00:08,PL (Poland)
Alek,2023-03-08 16:14:46,00:00:12,Autoplayed: user action: None; ,"Miniserial (zwiastun): MH370: Samolot, który zniknął",TRAILER,Apple iPhone 14 Plus iPhone,00:00:13,Not latest view,PL (Poland)
Alek,2023-03-07 22:21:27,00:06:28,Autoplayed: user action: None; ,Fauda: Sezon 4: Odcinek 1 (Odcinek 1),,Sony PS4,00:06:33,Not latest view,PL (Poland)
Alek,2023-03-07 21:43:29,00:37:35,,Fauda: Sezon 3: Odcinek 12 (Odcinek 12),,Sony PS4,00:37:40,00:37:40,PL (Poland)
Alek,2023-03-07 21:03:20,00:40:05,,Fauda: Sezon 3: Odcinek 11 (Odcinek 11),,Sony PS4,00:40:10,00:40:10,PL (Poland)
Alek,2023-03-07 20:27:30,00:35:46,,Fauda: Sezon 3: Odcinek 10 (Odcinek 10),,Sony PS4,00:35:51,00:35:51,PL (Poland)
Alek,2023-03-07 19:51:34,00:35:44,,Fauda: Sezon 3: Odcinek 9 (Odcinek 9),,Sony PS4,00:48:18,00:48:18,PL (Poland)
Alek,2023-03-07 19:25:27,00:12:05,,Fauda: Sezon 3: Odcinek 9 (Odcinek 9),,Sony PS4,00:12:35,Not latest view,PL (Poland)
Alek,2023-03-07 18:42:12,00:42:54,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 3: Odcinek 8 (Odcinek 8),,Sony PS4,00:44:56,00:44:56,PL (Poland)
Alek,2023-03-06 22:03:58,00:41:43,Autoplayed: user action: None; ,Fauda: Sezon 3: Odcinek 7 (Odcinek 7),,Sony PS4,00:41:48,00:41:48,PL (Poland)
Alek,2023-03-06 21:19:15,00:44:35,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 3: Odcinek 6 (Odcinek 6),,Sony PS4,00:44:35,00:44:35,PL (Poland)
Alek,2023-03-06 21:18:59,00:00:05,Autoplayed: user action: None; ,10 dni z życia dobrego człowieka (Klip): 10 dni z życia dobrego człowieka,HOOK,Sony PS4,00:00:05,00:00:05,PL (Poland)
Alek,2023-03-05 22:30:09,00:36:38,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 3: Odcinek 5 (Odcinek 5),,Sony PS4,00:36:59,00:36:59,PL (Poland)
Alek,2023-03-05 22:30:00,00:00:02,Autoplayed: user action: None; ,Fauda: Sezon 3: Odcinek 5 (Odcinek 5),,Sony PS4,00:00:02,Not latest view,PL (Poland)
Alek,2023-03-05 21:48:18,00:38:34,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 3: Odcinek 4 (Odcinek 4),,Sony PS4,00:38:40,00:38:40,PL (Poland)
Alek,2023-03-05 21:05:06,00:43:07,,Fauda: Sezon 3: Odcinek 3 (Odcinek 3),,Sony PS4,00:43:12,00:43:12,PL (Poland)
Alek,2023-03-05 20:15:26,00:49:20,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 3: Odcinek 2 (Odcinek 2),,Sony PS4,00:49:34,00:49:34,PL (Poland)
Alek,2023-03-05 19:26:46,00:48:30,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 3: Odcinek 1 (Odcinek 1),,Sony PS4,00:48:50,00:48:50,PL (Poland)
Alek,2023-03-05 10:00:18,00:34:42,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 2: Odcinek 12 (Odcinek 12),,Sony PS4,00:35:07,00:35:07,PL (Poland)
Alek,2023-03-05 09:21:50,00:38:15,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 2: Odcinek 11 (Odcinek 11),,Sony PS4,00:38:37,00:38:37,PL (Poland)
Alek,2023-03-05 08:45:04,00:36:39,,Fauda: Sezon 2: Odcinek 10 (Odcinek 10),,Sony PS4,00:36:48,00:36:48,PL (Poland)
Alek,2023-03-05 08:44:52,00:00:07,Autoplayed: user action: None; ,Sezon 2 (zwiastun): Fauda,TRAILER,Sony PS4,00:00:08,00:00:08,PL (Poland)
Alek,2023-03-05 01:00:26,00:44:37,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 2: Odcinek 9 (Odcinek 9),,Sony PS4,00:44:43,00:44:43,PL (Poland)
Alek,2023-03-05 00:20:42,00:39:40,,Fauda: Sezon 2: Odcinek 8 (Odcinek 8),,Sony PS4,00:39:45,00:39:45,PL (Poland)
Alek,2023-03-04 23:38:04,00:42:17,,Fauda: Sezon 2: Odcinek 7 (Odcinek 7),,Sony PS4,00:42:22,00:42:22,PL (Poland)
Alek,2023-03-04 22:57:11,00:40:50,,Fauda: Sezon 2: Odcinek 6 (Odcinek 6),,Sony PS4,00:40:55,00:40:55,PL (Poland)
Alek,2023-03-04 22:17:25,00:39:42,,Fauda: Sezon 2: Odcinek 5 (Odcinek 5),,Sony PS4,00:39:47,00:39:47,PL (Poland)
Alek,2023-03-04 21:48:58,00:27:37,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 2: Odcinek 4 (Odcinek 4),,Sony PS4,00:42:51,00:42:51,PL (Poland)
Alek,2023-03-04 21:47:11,00:00:55,Autoplayed: user action: User_Interaction; ,Sezon 2 (zwiastun): Po złej stronie torów,HOOK,Sony PS4,00:00:56,00:00:56,PL (Poland)
Alek,2023-03-04 20:12:53,01:32:59,Autoplayed: user action: User_Interaction; ,Przybłędy,,Sony PS4,01:33:00,01:33:00,PL (Poland)
Alek,2023-03-04 20:12:07,00:00:20,Autoplayed: user action: None; ,Przybłędy (Klip): Przybłędy,HOOK,Sony PS4,00:00:20,00:00:20,PL (Poland)
Alek,2023-02-26 23:34:59,00:15:13,,Fauda: Sezon 2: Odcinek 4 (Odcinek 4),,Sony PS4,00:15:18,Not latest view,PL (Poland)
Alek,2023-02-26 22:52:34,00:42:10,,Fauda: Sezon 2: Odcinek 3 (Odcinek 3),,Sony PS4,00:42:10,00:42:10,PL (Poland)
Alek,2023-02-26 22:40:47,00:00:56,Autoplayed: user action: None; ,Fauda: Sezon 2: Odcinek 3 (Odcinek 3),,Sony PS4,00:01:01,Not latest view,PL (Poland)
Alek,2023-02-26 21:56:08,00:44:34,,Fauda: Sezon 2: Odcinek 2 (Odcinek 2),,Sony PS4,00:44:39,00:44:39,PL (Poland)
Alek,2023-02-26 21:09:56,00:45:41,,Fauda: Sezon 2: Odcinek 1 (Odcinek 1),,Sony PS4,00:45:41,00:45:41,PL (Poland)
Alek,2023-02-26 17:11:06,00:33:35,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 1: Odcinek 12 (Odcinek 12),,Sony PS4,00:33:36,00:33:36,PL (Poland)
Alek,2023-02-26 16:35:30,00:33:38,,Fauda: Sezon 1: Odcinek 11 (Odcinek 11),,Sony PS4,00:33:39,00:33:39,PL (Poland)
Alek,2023-02-26 16:01:03,00:33:04,,Fauda: Sezon 1: Odcinek 10 (Odcinek 10),,Sony PS4,00:33:09,00:33:09,PL (Poland)
Alek,2023-02-26 15:28:20,00:30:17,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 1: Odcinek 9 (Odcinek 9),,Sony PS4,00:33:35,00:33:35,PL (Poland)
Alek,2023-02-26 15:24:13,00:03:12,Autoplayed: user action: User_Interaction; ,Fauda: Sezon 1: Odcinek 9 (Odcinek 9),,Sony PS4,00:03:17,Not latest view,PL (Poland)
