id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm77588,Casablanca,MOVIE,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",1943,PG,102,"['drama', 'romance', 'war']",['US'],,tt0034583,8.5,577842.0,22.005,8.167
tm155702,The Wizard of Oz,MOVIE,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",1939,G,102,"['fantasy', 'family']",['US'],,tt0032138,8.1,406105.0,56.631,7.583
tm83648,Citizen Kane,MOVIE,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",1941,PG,119,['drama'],['US'],,tt0033467,8.3,446627.0,19.9,8.022
tm3175,Meet Me in St. Louis,MOVIE,"In the year before the 1904 St. Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",1945,,113,"['drama', 'family', 'romance', 'music', 'comedy']",['US'],,tt0037059,7.5,25589.0,8.311,7.0
ts225761,Tom and Jerry,SHOW,"Tom and Jerry is an American animated franchise and series of comedy short films created in 1940 by William Hanna and Joseph Barbera. Best known for its 161 theatrical short films by Metro-Goldwyn-Mayer, the series centers on a friendship/rivalry (a love-hate relationship) between the title characters Tom, a cat, and Jerry, a mouse. Many shorts also feature several recurring characters.",1940,,8,"['animation', 'comedy', 'family', 'action']",['US'],16.0,tt6422744,7.7,859.0,1.4,10.0
tm156463,Gone with the Wind,MOVIE,The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.,1940,G,238,"['drama', 'romance', 'war', 'history']",['US'],,tt0031381,8.2,319463.0,27.535,8.0
tm82363,The Big Sleep,MOVIE,"Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love.",1946,,114,"['crime', 'thriller']",['US'],,tt0038355,7.9,87289.0,11.996,7.7
tm106979,The Thin Man,MOVIE,A husband and wife detective team takes on the search for a missing inventor and almost get killed for their efforts.,1934,,93,"['comedy', 'crime', 'romance']",['US'],,tt0025878,7.9,30898.0,10.471,7.536
tm14790,Mildred Pierce,MOVIE,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,1945,,111,"['drama', 'romance', 'crime']",['US'],,tt0037913,7.9,26770.0,12.641,7.7
tm47834,M,MOVIE,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",1931,PG-13,109,"['thriller', 'crime', 'drama', 'action', 'european']",['DE'],,tt0022100,8.3,160170.0,11.563,8.106
tm5094,The Treasure of the Sierra Madre,MOVIE,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",1948,,126,"['western', 'drama']",['US'],,tt0040897,8.2,126516.0,16.523,8.002
tm5608,Bicycle Thieves,MOVIE,"Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.",1948,,93,"['drama', 'european']",['IT'],,tt0040522,8.3,165791.0,15.908,8.234
tm87737,Häxan,MOVIE,"Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.",1922,,104,"['horror', 'european', 'history', 'documentation', 'fantasy']",['SE'],,tt0013257,7.6,15214.0,11.03,7.6
tm88256,Black Narcissus,MOVIE,"A group of Anglican nuns, led by Sister Clodagh, are sent to a mountain in the Himalayas. The climate in the region is hostile and the nuns are housed in an odd old palace. They work to establish a school and a hospital, but slowly their focus shifts. Sister Ruth falls for a government worker, Mr. Dean, and begins to question her vow of celibacy. As Sister Ruth obsesses over Mr. Dean, Sister Clodagh becomes immersed in her own memories of love.",1947,,100,['drama'],['GB'],,tt0039192,7.7,25765.0,13.578,7.609
tm160494,Stagecoach,MOVIE,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",1939,,96,"['western', 'drama']",['US'],,tt0031971,7.8,50624.0,13.939,7.7
tm7492,Bringing Up Baby,MOVIE,"David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances, he meets Susan Vance, and the duo have a series of misadventures which include a leopard called Baby.",1938,,102,"['romance', 'comedy', 'family']",['US'],,tt0029947,7.8,63042.0,14.792,7.566
tm58806,Rashomon,MOVIE,"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",1950,,88,"['drama', 'crime']",['JP'],,tt0042876,8.2,170971.0,16.076,8.1
tm81960,The Philadelphia Story,MOVIE,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",1940,,112,"['comedy', 'romance']",['US'],,tt0032904,7.9,70778.0,12.074,7.661
tm146745,The Gold Rush,MOVIE,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,1925,,81,"['drama', 'comedy', 'romance', 'western', 'family']",['US'],,tt0015864,8.1,112841.0,15.889,8.03
tm2346,The 39 Steps,MOVIE,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed - with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as The 39 Steps.",1935,,86,"['thriller', 'crime']",['GB'],,tt0026029,7.6,58562.0,12.218,7.402
tm117703,The Life and Death of Colonel Blimp,MOVIE,"General Candy, who's overseeing an English squad in 1943, is a veteran leader who doesn't have the respect of the men he's training and is considered out-of-touch with what's needed to win the war. But it wasn't always this way. Flashing back to his early career in the Boer War and World War I, we see a dashing young officer whose life has been shaped by three different women, and by a lasting friendship with a German soldier.",1944,,163,"['drama', 'romance', 'war']",['GB'],,tt0036112,8.0,15375.0,7.309,7.6
tm4707,The Red Shoes,MOVIE,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",1948,,133,"['romance', 'drama', 'music']",['GB'],,tt0040725,8.1,36324.0,11.078,8.0
tm127045,A Trip to the Moon,MOVIE,"Professor Barbenfouillis and five of his colleagues from the Academy of Astronomy travel to the Moon aboard a rocket propelled by a giant cannon. Once on the lunar surface, the bold explorers face the many perils hidden in the caves of the mysterious planet.",1902,,15,"['scifi', 'action', 'european']",['FR'],,,,,20.458,8.0
tm19202,The Kid Brother,MOVIE,"The most important family in Hickoryville is (not surprisingly) the Hickorys, with sheriff Jim and his tough manly sons Leo and Olin. The timid youngest son, Harold, doesn't have the muscles to match up to them, so he has to use his wits to win the respect of his strong father and also the love of beautiful Mary.",1927,,83,"['western', 'comedy', 'drama', 'family', 'romance']",['US'],,tt0018051,7.6,4549.0,5.589,6.959
tm72527,The Great Dictator,MOVIE,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940,,125,"['comedy', 'drama', 'war']",['US'],,tt0032553,8.4,226643.0,21.44,8.35
