season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
1,1,1,"Good News, Bad News",Art Wolff,Larry David & Jerry Seinfeld,1989-07-05,101,15400000.0
1,2,2,The Stakeout,Tom Cherones,Larry David & Jerry Seinfeld,1990-05-31,102,22500000.0
1,3,3,The Robbery,Tom Cherones,Matt Goldman,1990-06-07,103,19700000.0
1,4,4,Male Unbonding,Tom Cherones,Larry David & Jerry Seinfeld,1990-06-14,104,19100000.0
1,5,5,The Stock Tip,Tom Cherones,Larry David & Jerry Seinfeld,1990-06-21,105,19400000.0
2,1,6,The Ex-Girlfriend,Tom Cherones,Larry David & Jerry Seinfeld,1991-01-23,201,15600000.0
2,2,7,The Pony Remark,Tom Cherones,Larry David & Jerry Seinfeld,1991-01-30,202,15200000.0
2,3,8,The Jacket,Tom Cherones,Larry David & Jerry Seinfeld,1991-02-06,205,14800000.0
2,4,9,The Phone Message,Tom Cherones,Larry David & Jerry Seinfeld,1991-02-13,207,13600000.0
2,5,10,The Apartment,Tom Cherones,Peter Mehlman,1991-04-04,208,24700000.0
2,6,11,The Statue,Tom Cherones,Larry Charles,1991-04-11,210,23300000.0
2,7,12,The Revenge,Tom Cherones,Larry David,1991-04-18,212,19600000.0
2,8,13,The Heart Attack,Tom Cherones,Larry Charles,1991-04-25,211,20600000.0
2,9,14,The Deal,Tom Cherones,Larry David,1991-05-02,213,22900000.0
2,10,15,The Baby Shower,Tom Cherones,Larry Charles,1991-05-16,204,17200000.0
2,11,16,The Chinese Restaurant,Tom Cherones,Larry David & Jerry Seinfeld,1991-05-23,206,16800000.0
2,12,17,The Busboy,Tom Cherones,Larry David & Jerry Seinfeld,1991-06-26,203,12500000.0
3,1,18,The Note,Tom Cherones,Larry David,1991-09-18,301,21700000.0
3,2,19,The Truth,David Steinberg,Elaine Pope,1991-09-25,302,16700000.0
3,3,20,The Pen,Tom Cherones,Larry David,1991-10-02,305,15100000.0
3,4,21,The Dog,Tom Cherones,Larry David,1991-10-09,303,17200000.0
3,5,22,The Library,Joshua White,Larry Charles,1991-10-16,304,16399999.999999998
3,6,23,The Parking Garage,Tom Cherones,Larry David,1991-10-30,306,17000000.0
3,7,24,The Cafe,Tom Cherones,Tom Leopold,1991-11-06,307,16399999.999999998
3,8,25,The Tape,David Steinberg,Larry David and Bob Shaw & Don McEnery,1991-11-13,308,15800000.0
3,9,26,The Nose Job,Tom Cherones,Peter Mehlman,1991-11-20,309,16300000.0
3,10,27,The Stranded,Tom Cherones,Larry David & Jerry Seinfeld and Matt Goldman,1991-11-27,209,18600000.0
3,11,28,The Alternate Side,Tom Cherones,Larry David and Bill Masters,1991-12-04,310,18000000.0
3,12,29,The Red Dot,Tom Cherones,Larry David,1991-12-11,311,17900000.0
3,13,30,The Subway,Tom Cherones,Larry Charles,1992-01-08,313,18700000.0
3,14,31,The Pez Dispenser,Tom Cherones,Larry David,1992-01-15,314,19200000.0
3,15,32,The Suicide,Tom Cherones,Tom Leopold,1992-01-29,312,16900000.0
3,16,33,The Fix Up,Tom Cherones,Elaine Pope & Larry Charles,1992-02-05,317,18500000.0
3,17,34,The Boyfriend,Tom Cherones,Larry David and Larry Levin,1992-02-12,315,17000000.0
3,18,35,The Boyfriend,Tom Cherones,Larry David and Larry Levin,1992-02-12,316,17000000.0
3,19,36,The Limo,Tom Cherones,Story by: Marc Jaffe Teleplay by: Larry Charles,1992-02-26,318,19500000.0
3,20,37,The Good Samaritan,Jason Alexander,Peter Mehlman,1992-03-04,319,16100000.000000002
3,21,38,The Letter,Tom Cherones,Larry David,1992-03-25,320,22300000.0
3,22,39,The Parking Space,Tom Cherones,Larry David and Greg Daniels,1992-04-22,322,17800000.0
3,23,40,The Keys,Tom Cherones,Larry Charles,1992-05-06,321,16399999.999999998
4,1,41,The Trip: Part 1,Tom Cherones,Larry Charles,1992-08-12,401,16300000.0
