"","X","year_ceremony","category","film","winner","year","genre1","genre2","genre3","rating","gross","runtime"
"1","6",1970,"BEST PICTURE","Anne of the Thousand Days","False",1969,"Biography","Drama","History",7.4,"2068232",145
"2","8",1970,"BEST PICTURE","Butch Cassidy and the Sundance Kid","False",1969,"Biography","Crime","Drama",8,"102308889",110
"3","10",1970,"BEST PICTURE","Hello, Dolly!","False",1969,"Adventure","Comedy","Musical",7,"7239608",146
"4","12",1970,"BEST PICTURE","Z","False",1969,"Crime","Drama","Thriller",8.2,"83305",127
"5","2",1970,"BEST PICTURE","Midnight Cowboy","True",1969,"Drama",NA,NA,NA,"3600000",113
"6","1",1970,"INTERNATIONAL FEATURE FILM","The Battle of Neretva","False",1969,"Drama","History","War",7,NA,105
"7","3",1970,"INTERNATIONAL FEATURE FILM","My Night at Maud's","False",1969,"Comedy","Drama","Romance",7.8,NA,105
"8","4",1970,"INTERNATIONAL FEATURE FILM","Z","True",1969,"Crime","Drama","Thriller",8.2,"83305",127
"9","1102",1970,"INTERNATIONAL FEATURE FILM","The Brothers Karamazov","False",1969,"Drama",NA,NA,NA,NA,218
"10","1107",1970,"INTERNATIONAL FEATURE FILM","Adalen '31","False",NA,NA,NA,NA,NA,NA,NA
"11","14",1970,"WRITING","Anne of the Thousand Days","False",1969,"Biography","Drama","History",7.4,"2068232",145
"12","16",1970,"WRITING","Goodbye, Columbus","False",1969,"Comedy","Drama","Romance",6.4,"22939805",102
"13","17",1970,"WRITING","Z","False",1969,"Crime","Drama","Thriller",8.2,"83305",127
"14","19",1970,"WRITING","Bob & Carol & Ted & Alice","False",1969,"Comedy","Drama","Romance",6.7,"31897253",105
"15","20",1970,"WRITING","Butch Cassidy and the Sundance Kid","True",1969,"Biography","Crime","Drama",8,"102308889",110
"16","22",1970,"WRITING","The Damned","False",1969,"Drama","War",NA,7.4,"625315",156
"17","23",1970,"WRITING","Easy Rider","False",1969,"Adventure","Drama",NA,7.3,"41728598",95
"18","24",1970,"WRITING","The Wild Bunch","False",1969,"Action","Adventure","Western",7.9,"12064472",135
"19","311",1970,"WRITING","Midnight Cowboy","True",1969,"Drama",NA,NA,NA,"3600000",113
"20","413",1970,"WRITING","They Shoot Horses, Don't They?","False",1969,"Drama",NA,NA,NA,NA,120
"21","27",1971,"BEST PICTURE","Airport","False",1970,"Action","Drama","Thriller",6.6,"100489150",137
"22","29",1971,"BEST PICTURE","Love Story","False",1970,"Drama","Romance",NA,6.9,"106400000",100
"23","30",1971,"BEST PICTURE","M*A*S*H","False",1970,"Comedy","Drama","War",7.4,"81600000",116
"24","31",1971,"BEST PICTURE","Patton","True",1970,"Biography","Drama","War",7.9,"61700000",172
"25","610",1971,"BEST PICTURE","Five Easy Pieces","False",1970,"Drama",NA,NA,NA,NA,98
